stopinfo_ended;stopinfo_id;stopinfo_initialContainers;stopinfo_initialPersons;stopinfo_lane;stopinfo_loadedContainers;stopinfo_loadedPersons;stopinfo_parking;stopinfo_pos;stopinfo_started;stopinfo_type;stopinfo_unloadedContainers;stopinfo_unloadedPersons
6917.00;houshan_private_19;0;0;1172895350#7_0;0;0;1;654.29;6907.00;private;0;0
6923.00;jinxie_motorcycle_35;0;0;977360507#0_0;0;0;1;1136.46;6909.00;motorcycle;0;0
6929.00;jinxie_taxi_21;0;0;977360507#0_0;0;0;1;1136.46;6914.00;taxi;0;0
6930.00;beibi_private_2;0;0;-51691749#4_0;0;0;1;143.77;6917.00;private;0;0
6930.00;jinxie_motorcycle_36;0;0;977360507#0_0;0;0;1;1136.44;6919.00;motorcycle;0;0
6932.00;beibi_private_4;0;0;-51691749#4_0;0;0;1;143.79;6922.00;private;0;0
6935.00;houshan_private_10;0;0;1172895350#7_0;0;0;1;654.28;6925.00;private;0;0
6939.00;beibi_private_0;0;0;-51691749#4_0;0;0;1;143.77;6929.00;private;0;0
6940.00;houshan_taxi_16;0;0;1172895350#7_0;0;0;1;654.29;6930.00;taxi;0;0
6944.00;jinxie_taxi_23;0;0;977360507#0_0;0;0;1;1136.44;6922.00;taxi;0;0
6945.00;jinxie_taxi_25;0;0;977360507#0_0;0;0;1;1136.44;6933.00;taxi;0;0
6946.00;jinxie_taxi_36;0;0;977360507#0_0;0;0;1;1136.45;6928.00;taxi;0;0
6955.00;jinxie_private_28;0;0;977360507#0_0;0;0;1;1136.47;6938.00;private;0;0
6956.00;jinxie_tricycle_34;0;0;977360507#0_0;0;0;1;1136.46;6943.00;tricycle;0;0
6960.00;jinxie_motorcycle_23;0;0;977360507#0_0;0;0;1;1136.47;6950.00;motorcycle;0;0
6964.00;jinxie_taxi_26;0;0;977360507#0_0;0;0;1;1136.45;6954.00;taxi;0;0
6966.00;beigang_taxi_0;0;0;715792677_0;0;0;1;281.33;6956.00;taxi;0;0
6969.00;houshan_taxi_20;0;0;1172895350#7_0;0;0;1;654.26;6959.00;taxi;0;0
6971.00;beigang_private_0;0;0;715792677_0;0;0;1;281.34;6961.00;private;0;0
6975.00;houshan_taxi_9;0;0;1172895350#7_0;0;0;1;654.28;6965.00;taxi;0;0
6990.00;jinxie_private_43;0;0;977360507#0_0;0;0;1;1136.45;6978.00;private;0;0
6991.00;jinxie_motorcycle_30;0;0;977360507#0_0;0;0;1;1136.47;6973.00;motorcycle;0;0
6994.00;jinxie_tricycle_26;0;0;977360507#0_0;0;0;1;1136.47;6984.00;tricycle;0;0
6998.00;houshan_motorcycle_10;0;0;1172895350#7_0;0;0;1;654.29;6986.00;motorcycle;0;0
6999.00;jinxie_tricycle_25;0;0;977360507#0_0;0;0;1;1136.46;6989.00;tricycle;0;0
7007.00;houshan_taxi_12;0;0;1172895350#7_0;0;0;1;654.25;6997.00;taxi;0;0
7012.00;beigang_private_4;0;0;715792677_0;0;0;1;281.32;7002.00;private;0;0
7013.00;liujin_private_4;0;0;-51691749#4_0;0;0;1;143.79;7003.00;private;0;0
7026.00;houshan_motorcycle_9;0;0;1172895350#7_0;0;0;1;654.27;7016.00;motorcycle;0;0
7033.00;jinxie_motorcycle_24;0;0;977360507#0_0;0;0;1;1136.47;7014.00;motorcycle;0;0
7034.00;houshan_tricycle_12;0;0;1172895350#7_0;0;0;1;654.29;7020.00;tricycle;0;0
7037.00;beigang_taxi_1;0;0;715792677_0;0;0;1;281.33;7026.00;taxi;0;0
7038.00;jinxie_motorcycle_28;0;0;977360507#0_0;0;0;1;1136.46;7028.00;motorcycle;0;0
7043.00;houshan_taxi_17;0;0;1172895350#7_0;0;0;1;654.29;7033.00;taxi;0;0
7045.00;jinxie_tricycle_22;0;0;977360507#0_0;0;0;1;1136.46;7009.00;tricycle;0;0
7045.00;beigang_tricycle_0;0;0;715792677_0;0;0;1;281.34;7031.00;tricycle;0;0
7050.00;houshan_private_20;0;0;1172895350#7_0;0;0;1;654.27;7040.00;private;0;0
7054.00;jinxie_private_27;0;0;977360507#0_0;0;0;1;1136.46;7032.00;private;0;0
7055.00;jinxie_taxi_27;0;0;977360507#0_0;0;0;1;1136.45;7037.00;taxi;0;0
7056.00;jinxie_motorcycle_22;0;0;977360507#0_0;0;0;1;1136.47;7044.00;motorcycle;0;0
7057.00;jinxie_motorcycle_31;0;0;977360507#0_0;0;0;1;1136.47;7005.00;motorcycle;0;0
7058.00;jinxie_tricycle_23;0;0;977360507#0_0;0;0;1;1136.47;7025.00;tricycle;0;0
7059.00;jinxie_motorcycle_21;0;0;977360507#0_0;0;0;1;1136.47;7049.00;motorcycle;0;0
7060.00;jinxie_tricycle_27;0;0;977360507#0_0;0;0;1;1136.45;7019.00;tricycle;0;0
7060.00;beigang_private_1;0;0;715792677_0;0;0;1;281.34;7036.00;private;0;0
7061.00;beigang_private_2;0;0;715792677_0;0;0;1;281.33;7044.00;private;0;0
7062.00;beigang_taxi_2;0;0;715792677_0;0;0;1;281.34;7048.00;taxi;0;0
7063.00;jinxie_private_26;0;0;977360507#0_0;0;0;1;1136.46;7053.00;private;0;0
7063.00;beigang_taxi_3;0;0;715792677_0;0;0;1;281.31;7052.00;taxi;0;0
7069.00;beigang_private_3;0;0;715792677_0;0;0;1;281.33;7059.00;private;0;0
7080.00;jinxie_motorcycle_39;0;0;977360507#0_0;0;0;1;1136.47;7070.00;motorcycle;0;0
7082.00;houshan_motorcycle_13;0;0;1172895350#7_0;0;0;1;654.28;7067.00;motorcycle;0;0
7083.00;houshan_motorcycle_16;0;0;1172895350#7_0;0;0;1;654.27;7071.00;motorcycle;0;0
7085.00;jinxie_motorcycle_29;0;0;977360507#0_0;0;0;1;1136.47;7073.00;motorcycle;0;0
7085.00;houshan_motorcycle_18;0;0;1172895350#7_0;0;0;1;654.27;7075.00;motorcycle;0;0
7085.00;beigang_motorcycle_0;0;0;715792677_0;0;0;1;281.32;7073.00;motorcycle;0;0
7086.00;jinxie_motorcycle_61;0;0;977360507#0_0;0;0;1;1136.45;7076.00;motorcycle;0;0
7088.00;houshan_motorcycle_20;0;0;1172895350#7_0;0;0;1;654.29;7078.00;motorcycle;0;0
7091.00;houshan_motorcycle_19;0;0;1172895350#7_0;0;0;1;654.28;7081.00;motorcycle;0;0
7100.00;beigang_motorcycle_2;0;0;715792677_0;0;0;1;281.33;7089.00;motorcycle;0;0
7106.00;jinxie_private_29;0;0;977360507#0_0;0;0;1;1136.47;7095.00;private;0;0
7107.00;jinxie_taxi_28;0;0;977360507#0_0;0;0;1;1136.45;7079.00;taxi;0;0
7108.00;jinxie_taxi_30;0;0;977360507#0_0;0;0;1;1136.46;7084.00;taxi;0;0
7108.00;houshan_motorcycle_11;0;0;1172895350#7_0;0;0;1;654.28;7098.00;motorcycle;0;0
7109.00;jinxie_tricycle_24;0;0;977360507#0_0;0;0;1;1136.45;7091.00;tricycle;0;0
7111.00;jinxie_motorcycle_25;0;0;977360507#0_0;0;0;1;1136.47;7101.00;motorcycle;0;0
7115.00;beigang_private_5;0;0;715792677_0;0;0;1;281.32;7084.00;private;0;0
7116.00;beigang_private_7;0;0;715792677_0;0;0;1;281.33;7099.00;private;0;0
7117.00;beigang_taxi_4;0;0;715792677_0;0;0;1;281.32;7078.00;taxi;0;0
7118.00;beibi_private_12;0;0;-51691749#4_0;0;0;1;143.76;7108.00;private;0;0
7118.00;beigang_motorcycle_3;0;0;715792677_0;0;0;1;281.32;7104.00;motorcycle;0;0
7119.00;jinxie_private_35;0;0;977360507#0_0;0;0;1;1136.44;7105.00;private;0;0
7124.00;beigang_taxi_5;0;0;715792677_0;0;0;1;281.32;7094.00;taxi;0;0
7124.00;houshan_motorcycle_17;0;0;1172895350#7_0;0;0;1;654.29;7114.00;motorcycle;0;0
7125.00;beigang_tricycle_1;0;0;715792677_0;0;0;1;281.34;7108.00;tricycle;0;0
7126.00;beigang_tricycle_5;0;0;715792677_0;0;0;1;281.34;7114.00;tricycle;0;0
7128.00;jinxie_tricycle_28;0;0;977360507#0_0;0;0;1;1136.47;7118.00;tricycle;0;0
7133.00;beigang_tricycle_4;0;0;715792677_0;0;0;1;281.34;7123.00;tricycle;0;0
7140.00;beibi_private_13;0;0;-51691749#4_0;0;0;1;143.78;7128.00;private;0;0
7140.00;beigang_tricycle_2;0;0;715792677_0;0;0;1;281.34;7130.00;tricycle;0;0
7148.00;jinxie_motorcycle_27;0;0;977360507#0_0;0;0;1;1136.45;7138.00;motorcycle;0;0
7149.00;beibi_taxi_15;0;0;-51691749#4_0;0;0;1;143.78;7139.00;taxi;0;0
7166.00;jinxie_private_32;0;0;977360507#0_0;0;0;1;1136.44;7147.00;private;0;0
7167.00;jinxie_taxi_32;0;0;977360507#0_0;0;0;1;1136.47;7143.00;taxi;0;0
7168.00;jinxie_taxi_34;0;0;977360507#0_0;0;0;1;1136.47;7153.00;taxi;0;0
7169.00;jinxie_private_34;0;0;977360507#0_0;0;0;1;1136.46;7159.00;private;0;0
7175.00;jinxie_tricycle_35;0;0;977360507#0_0;0;0;1;1136.47;7165.00;tricycle;0;0
7184.00;jinxie_motorcycle_32;0;0;977360507#0_0;0;0;1;1136.44;7174.00;motorcycle;0;0
7185.00;beigang_motorcycle_5;0;0;715792677_0;0;0;1;281.33;7175.00;motorcycle;0;0
7190.00;beigang_private_8;0;0;715792677_0;0;0;1;281.33;7180.00;private;0;0
7196.00;beibi_tricycle_15;0;0;-51691749#4_0;0;0;1;143.79;7186.00;tricycle;0;0
7201.00;jinxie_taxi_35;0;0;977360507#0_0;0;0;1;1136.47;7191.00;taxi;0;0
7207.00;beigang_private_10;0;0;715792677_0;0;0;1;281.34;7197.00;private;0;0
7212.00;beibi_motorcycle_8;0;0;-51691749#4_0;0;0;1;143.79;7200.00;motorcycle;0;0
7217.00;liujin_private_5;0;0;-51691749#4_0;0;0;1;143.79;7195.00;private;0;0
7218.00;liujin_taxi_2;0;0;-51691749#4_0;0;0;1;143.79;7190.00;taxi;0;0
7219.00;liujin_taxi_4;0;0;-51691749#4_0;0;0;1;143.79;7205.00;taxi;0;0
7221.00;liujin_taxi_5;0;0;-51691749#4_0;0;0;1;143.79;7211.00;taxi;0;0
7226.00;beibi_motorcycle_6;0;0;-51691749#4_0;0;0;1;143.78;7216.00;motorcycle;0;0
7228.00;jinxie_motorcycle_34;0;0;977360507#0_0;0;0;1;1136.47;7218.00;motorcycle;0;0
7229.00;beigang_motorcycle_1;0;0;715792677_0;0;0;1;281.34;7219.00;motorcycle;0;0
7238.00;beigang_tricycle_3;0;0;715792677_0;0;0;1;281.33;7224.00;tricycle;0;0
7241.00;beibi_tricycle_6;0;0;-51691749#4_0;0;0;1;143.79;7231.00;tricycle;0;0
7246.00;beibi_motorcycle_4;0;0;-51691749#4_0;0;0;1;143.79;7236.00;motorcycle;0;0
7247.00;beigang_private_9;0;0;715792677_0;0;0;1;281.33;7237.00;private;0;0
7255.00;jinxie_tricycle_30;0;0;977360507#0_0;0;0;1;1136.45;7245.00;tricycle;0;0
7266.00;houshan_taxi_24;0;0;1172895350#7_0;0;0;1;654.29;7256.00;taxi;0;0
7275.00;jinxie_tricycle_32;0;0;977360507#0_0;0;0;1;1136.45;7263.00;tricycle;0;0
